anyo,id_territori,territori,nivel_territorial,sexe,valor
1998,,Banyeres del Penedès,municipi,Homes,826
1998,,Banyeres del Penedès,municipi,Dones,769
1998,,Banyeres del Penedès,municipi,Total,1595
1998,,Banyoles,municipi,Homes,7218
1998,,Banyoles,municipi,Dones,7530
1998,,Banyoles,municipi,Total,14748
1998,,Barbens,municipi,Homes,389
1998,,Barbens,municipi,Dones,365
1998,,Barbens,municipi,Total,754
1998,,Barberà de la Conca,municipi,Homes,198
1998,,Barberà de la Conca,municipi,Dones,196
1998,,Barberà de la Conca,municipi,Total,394
1998,,Barberà del Vallès,municipi,Homes,13109
1998,,Barberà del Vallès,municipi,Dones,13003
1998,,Barberà del Vallès,municipi,Total,26112
1998,,Barcelona,municipi,Homes,703231
1998,,Barcelona,municipi,Dones,802350
1998,,Barcelona,municipi,Total,1505581
1998,,"Baronia de Rialb, la",municipi,Homes,130
1998,,"Baronia de Rialb, la",municipi,Dones,117
1998,,"Baronia de Rialb, la",municipi,Total,247
1998,,Bàscara,municipi,Homes,404
1998,,Bàscara,municipi,Dones,374
1998,,Bàscara,municipi,Total,778
1998,,Bassella,municipi,Homes,168
1998,,Bassella,municipi,Dones,167
1998,,Bassella,municipi,Total,335
1998,,Batea,municipi,Homes,997
1998,,Batea,municipi,Dones,976
1998,,Batea,municipi,Total,1973
1998,,Bausen,municipi,Homes,39
1998,,Bausen,municipi,Dones,28
1998,,Bausen,municipi,Total,67
1998,,Begues,municipi,Homes,1812
1998,,Begues,municipi,Dones,1768
1998,,Begues,municipi,Total,3580
1998,,Begur,municipi,Homes,1601
1998,,Begur,municipi,Dones,1578
1998,,Begur,municipi,Total,3179
1998,,Belianes,municipi,Homes,269
1998,,Belianes,municipi,Dones,289
1998,,Belianes,municipi,Total,558
1998,,Bellaguarda,municipi,Homes,183
1998,,Bellaguarda,municipi,Dones,180
1998,,Bellaguarda,municipi,Total,363
1998,,Bellcaire d'Empordà,municipi,Homes,251
1998,,Bellcaire d'Empordà,municipi,Dones,251
1998,,Bellcaire d'Empordà,municipi,Total,502
1998,,Bellcaire d'Urgell,municipi,Homes,640
1998,,Bellcaire d'Urgell,municipi,Dones,706
1998,,Bellcaire d'Urgell,municipi,Total,1346
1998,,Bell-lloc d'Urgell,municipi,Homes,1041
1998,,Bell-lloc d'Urgell,municipi,Dones,1065
1998,,Bell-lloc d'Urgell,municipi,Total,2106
1998,,Bellmunt d'Urgell,municipi,Homes,117
1998,,Bellmunt d'Urgell,municipi,Dones,116
1998,,Bellmunt d'Urgell,municipi,Total,233
1998,,Bellmunt del Priorat,municipi,Homes,151
1998,,Bellmunt del Priorat,municipi,Dones,156
1998,,Bellmunt del Priorat,municipi,Total,307
1998,,Bellprat,municipi,Homes,50
1998,,Bellprat,municipi,Dones,39
1998,,Bellprat,municipi,Total,89
1998,,Bellpuig,municipi,Homes,1966
1998,,Bellpuig,municipi,Dones,1990
1998,,Bellpuig,municipi,Total,3956
1998,,Bellvei,municipi,Homes,673
1998,,Bellvei,municipi,Dones,600
1998,,Bellvei,municipi,Total,1273
1998,,Bellver de Cerdanya,municipi,Homes,838
1998,,Bellver de Cerdanya,municipi,Dones,760
1998,,Bellver de Cerdanya,municipi,Total,1598
1998,,Bellvís,municipi,Homes,1063
1998,,Bellvís,municipi,Dones,1108
1998,,Bellvís,municipi,Total,2171
1998,,Benavent de Segrià,municipi,Homes,448
1998,,Benavent de Segrià,municipi,Dones,404
1998,,Benavent de Segrià,municipi,Total,852
1998,,Benifallet,municipi,Homes,447
1998,,Benifallet,municipi,Dones,439
1998,,Benifallet,municipi,Total,886
1998,,Benissanet,municipi,Homes,519
1998,,Benissanet,municipi,Dones,497
1998,,Benissanet,municipi,Total,1016
1998,,Berga,municipi,Homes,6910
1998,,Berga,municipi,Dones,7263
1998,,Berga,municipi,Total,14173
1998,,Besalú,municipi,Homes,966
1998,,Besalú,municipi,Dones,1025
1998,,Besalú,municipi,Total,1991
1998,,Bescanó,municipi,Homes,1536
1998,,Bescanó,municipi,Dones,1527
1998,,Bescanó,municipi,Total,3063
1998,,Beuda,municipi,Homes,73
1998,,Beuda,municipi,Dones,57
1998,,Beuda,municipi,Total,130
1998,,Bigues i Riells del Fai,municipi,Homes,2414
1998,,Bigues i Riells del Fai,municipi,Dones,2215
1998,,Bigues i Riells del Fai,municipi,Total,4629
1998,,Biosca,municipi,Homes,135
1998,,Biosca,municipi,Dones,133
1998,,Biosca,municipi,Total,268
1998,,"Bisbal d'Empordà, la",municipi,Homes,3954
1998,,"Bisbal d'Empordà, la",municipi,Dones,4153
1998,,"Bisbal d'Empordà, la",municipi,Total,8107
1998,,"Bisbal de Montsant, la",municipi,Homes,121
1998,,"Bisbal de Montsant, la",municipi,Dones,124
1998,,"Bisbal de Montsant, la",municipi,Total,245
1998,,"Bisbal del Penedès, la",municipi,Homes,909
1998,,"Bisbal del Penedès, la",municipi,Dones,838
1998,,"Bisbal del Penedès, la",municipi,Total,1747
1998,,Biure,municipi,Homes,105
1998,,Biure,municipi,Dones,106
1998,,Biure,municipi,Total,211
1998,,Blancafort,municipi,Homes,198
1998,,Blancafort,municipi,Dones,192
1998,,Blancafort,municipi,Total,390
1998,,Blanes,municipi,Homes,14463
1998,,Blanes,municipi,Dones,14363
1998,,Blanes,municipi,Total,28826
1998,,Boadella i les Escaules,municipi,Homes,113
1998,,Boadella i les Escaules,municipi,Dones,114
1998,,Boadella i les Escaules,municipi,Total,227
1998,,Bolvir,municipi,Homes,123
1998,,Bolvir,municipi,Dones,124
1998,,Bolvir,municipi,Total,247
1998,,Bonastre,municipi,Homes,162
1998,,Bonastre,municipi,Dones,166
1998,,Bonastre,municipi,Total,328
1998,,"Bòrdes, Es",municipi,Homes,111
1998,,"Bòrdes, Es",municipi,Dones,96
1998,,"Bòrdes, Es",municipi,Total,207
1998,,Bordils,municipi,Homes,696
1998,,Bordils,municipi,Dones,690
1998,,Bordils,municipi,Total,1386
1998,,"Borges Blanques, les",municipi,Homes,2568
1998,,"Borges Blanques, les",municipi,Dones,2613
1998,,"Borges Blanques, les",municipi,Total,5181
1998,,"Borges del Camp, les",municipi,Homes,749
1998,,"Borges del Camp, les",municipi,Dones,727
1998,,"Borges del Camp, les",municipi,Total,1476
1998,,Borrassà,municipi,Homes,239
