id_tipo_delito,codigo,descripcio,titol_cp,categoria,nivel_tipologia,fuente
107,,Alteració dels preus,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Delictes contra el patrimoni i contra l’ordre socioeconòmic,detalle,mossos
108,,"Contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili","Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili","Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili",detalle,mossos
109,,Negociacions i activitats prohibides a funcionaris,Delictes contra l'Administració pública,Delictes contra l'Administració pública,detalle,mossos
110,,Corrupció als negocis,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Delictes contra el patrimoni i contra l’ordre socioeconòmic,detalle,mossos
111,,Violació de secrets,Delictes contra l'Administració pública,Delictes contra l'Administració pública,detalle,mossos
112,,Eutanàsia activa,De l’homicidi i les seves formes,De l’homicidi i les seves formes,detalle,mossos
113,,Contra l'administració de justícia,Delictes contra l'Administració de justícia,Delictes contra l'Administració de justícia,detalle,mossos
114,,Tortures i delictes contra la integritat moral,De les tortures i altres delictes contra la integritat moral,De les tortures i altres delictes contra la integritat moral,detalle,mossos
115,,Contra la seguretat colectiva,Dels delictes contra la seguretat col·lectiva,Dels delictes contra la seguretat col·lectiva,detalle,mossos
116,,Contra la llibertat sexual,Delictes contra la llibertat i la indemnitat sexuals,Delictes contra la llibertat i la indemnitat sexuals,detalle,mossos
117,,"Traïció, contra la pau, independència de l'estat i defensa nacional",Dels delictes de traïció i contra la pau o la independència de l'Estat i relatius a la defensa nacional,Dels delictes de traïció i contra la pau o la independència de l'Estat i relatius a la defensa nacional,detalle,mossos
118,,Contra l'administració justícia cort penal internacional,Delictes contra l'Administració de justícia,Delictes contra l'Administració de justícia,detalle,mossos
119,,Contra l'administració pública,Delictes contra l'Administració pública,Delictes contra l'Administració pública,detalle,mossos
120,,suicidi menor/disc per les tic,De l’homicidi i les seves formes,De l’homicidi i les seves formes,detalle,mossos
121,,Falsedats,De les falsedats,De les falsedats,detalle,mossos
122,,Contra la seguretat col·lectiva,Dels delictes contra la seguretat col·lectiva,Dels delictes contra la seguretat col·lectiva,detalle,mossos
123,,Contra les institucions de l'estat i divisió de poders,Delictes contra la Constitució,Delictes contra la Constitució,detalle,mossos
124,,Dels funcionaris públics contra les garanties constitucionals,Delictes contra la Constitució,Delictes contra la Constitució,detalle,mossos
125,210,ACCIDENTS DE TRÀNSIT SENSE FERITS,,,detalle,gub
126,222,INFRACCIONS EN MOVIMENT,,,detalle,gub
127,410,ACTIVITATS MOLESTES EN ESPAIS PÚBLICS,,,detalle,gub
128,420,INCIDÈNCIES DE LOCALS,,,detalle,gub
129,400,CONVIVÈNCIA VEINAL,,,detalle,gub
130,220,INFRACCIONS EN GUALS I RESERVES,,,detalle,gub
131,230,TRASLLATS DE VEHICLES SENSE INFRACCIÓ,,,detalle,gub
132,510,BARALLES,,,detalle,gub
133,610,ACTES CONTRA LA PROPIETAT PRIVADA,,,detalle,gub
134,204,SENYALS NO AUTOMATITZADES,,,detalle,gub
135,411,VENDA AMBULANT,,,detalle,gub
136,221,INFRACCIONS PER ESTACIONAMENTS,,,detalle,gub
137,211,ACCIDENTS DE TRÀNSIT AMB FERITS,,,detalle,gub
138,300,ASSISTÈNCIA A PERSONES EN EDIFICI,,,detalle,gub
139,240,CONTROLS DE TRÀNSIT,,,detalle,gub
140,200,INCIDÈNCIES AMB AFECTACIÓ DE VIA,,,detalle,gub
141,301,ASSISTÈNCIA A PERSONES EN ESPAIS PÚBLICS,,,detalle,gub
